1. Stairway To Heaven	Stairway to Heaven
2. Hey Jude	Hey Jude
3. Layla	Layla
4. Bohemian Rhapsody	Bohemian Rhapsody
5. Born To Run	Born to Run
6. Hotel California	Hotel California
7. Sgt. Peppers Lonely Hearts Club Band/A Day In The Life	Sgt. Pepper's Lonely Hearts Club Band - Reprise / A Day In The Life
8. Kashmir	Kashmir
9. Thunder Road	Thunder Road
10. In My Life	In My Life
11. Don't Stop Believing	Don't Stop Believin'
12. All Along The Watchtower	All Along the Watchtower
13. The Rain Song	The Rain Song
14. We Will Rock You/We Are The Champions	We Will Rock You / We Are The Champions
15. Sympathy For The Devil	Sympathy For The Devil
16. Yesterday	Yesterday
17. Jungleland	Jungleland
18. Gimme Shelter	Gimme Shelter
19. (I Can't Get No) Satisfaction	(I Can't Get No) Satisfaction
20. Baba O'Riley	Baba O'Riley
21. Won't Get Fooled Again	Won't Get Fooled Again
22. Rosalita (Come Out Tonight)	Rosalita (Come Out Tonight)
23. Purple Haze	Purple Haze
24. Heroes	Heroes
25. Miami 2017	Miami 2017 (Seen the Lights Go Out On Broadway)
26. Comfortably Numb	Comfortably Numb
27. Dream On	Dream On
28. Desperado	Desperado
29. Funeral For A Friend / Love Lies Bleeding	Funeral For A Friend / Love Lies Bleeding
30. Tom Sawyer	Tom Sawyer
31. Spirit Of Radio	The Spirit Of Radio
32. Wish You Were Here	Wish You Were Here
33. For Those About To Rock (We Salute You)	For Those About to Rock (We Salute You)
34. Smoke On The Water	Smoke on the Water
35. American Pie	American Pie
36. New York State Of Mind	New York State of Mind
37. Something	Something
38. Another One Bites The Dust	Another One Bites The Dust
39. Let It Be	Let It Be
40. Money	Money
41. Where The Streets Have No Name	Where The Streets Have No Name
42. Sgt. Peppers Lonely Hearts Club Band / With A Little Help From My Friends	Sgt. Pepper's Lonely Hearts Club Band / With a Little Help from My Friends
43. Sunshine Of Your Love	Sunshine Of Your Love
44. Revolution	Revolution
45. In Your Eyes	In Your Eyes
46. Free Bird	Free Bird
47. Barracuda	Barracuda
48. Whole Lotta Love	Whole Lotta Love
49. Fat Bottomed Girls	Fat Bottomed Girls
50. Crazy Little Thing Called Love	Crazy Little Thing Called Love
51. Crossroads	Crossroads
52. I Love Rock N Roll	I Love Rock 'N Roll
53. You Shook Me All Night Long	You Shook Me All Night Long
54. American Girl	American Girl
55. Sugar Magnolia	Sugar Magnolia
56. War Pigs	War Pigs
57. Bad	Bad
58. Imagine	Imagine
59. While My Guitar Gently Weeps	While My Guitar Gently Weeps
60. Light My Fire	Light My Fire
61. Life In The Fast Lane	Life in the Fast Lane
62. Like A Hurricane	Like a hurricane
63. Rock And Roll	Rock and Roll
64. Abacab	Abacab
65. Black Dog	Black Dog
66. Piano Man	Piano Man
67. Beautiful Day	Beautiful Day
68. Subdivisions	Subdivisions
69. Here Comes The Sun	Here Comes The Sun
70. Walk This Way	Walk This Way
71. Who Are You?	Who Are You
72. Go Your Own Way	Go Your Own Way
73. Mrs. Robinson	Mrs. Robinson
74. The Boys Of Summer	The Boys Of Summer
75. Killer Queen	Killer Queen
76. Woman From Tokyo	Woman from Tokyo
77. Pride	Pride (In The Name Of Love)
78. Empty Pages	Empty Pages
79. Reeling In The Years	Reelin' In The Years
80. Roadhouse Blues	Roadhouse Blues
81. Strawberry Fields Forever	Strawberry Fields Forever
82. Hey Hey What Can I Do	Hey, Hey, What Can I Do
83. Maybe I'm Amazed	Maybe I'm Amazed
84. Movin' Out	Movin' Out (Anthony's Song)
