1. Stairway To Heaven	Stairway to Heaven
2. Baba O'Riley	Baba O'Riley
3. Bohemian Rhapsody	Bohemian Rhapsody
4. Hey Jude	Hey Jude
5. Born To Run	Born to Run
6. Layla	Layla
7. Won't Get Fooled Again	Won't Get Fooled Again
8. Let It Be	Let It Be
9. Free Bird	Free Bird
10. (I Can't Get No) Satisfaction	(I Can't Get No) Satisfaction
11. In My Life	In My Life
12. Kashmir	Kashmir
13. Sgt. Pepper's Reprise/A Day In The Life	Sgt. Pepper's Lonely Hearts Club Band - Reprise / A Day In The Life
14. Jungleland	Jungleland
15. Thunder Road	Thunder Road
16. Gimme Shelter	Gimme Shelter
17. Hotel California	Hotel California
18. Imagine	Imagine
19. Sympathy For The Devil	Sympathy For The Devil
20. Wish You Were Here	Wish You Were Here
21. Tom Sawyer	Tom Sawyer
22. Like A Rolling Stone	Like a Rolling Stone
23. Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends	Sgt. Pepper's Lonely Hearts Club Band / With a Little Help from My Friends
24. Comfortably Numb	Comfortably Numb
25. Dream On	Dream On
26. While My Guitar Gently Weeps	While My Guitar Gently Weeps
27. Light My Fire	Light My Fire
28. White Room	White Room
29. Nights In White Satin	Nights In White Satin
30. Whole Lotta Love	Whole Lotta Love
31. American Pie	American Pie
32. Rosalita (Come Out Tonight)	Rosalita (Come Out Tonight)
33. Funeral For A Friend/Love ...	Funeral For A Friend / Love Lies Bleeding
34. Sunshine Of Your Love	Sunshine Of Your Love
35. Black Dog	Black Dog
36. Bat Out Of Hell	Bat Out of Hell
37. The Real Me	The Real Me
38. Hells Bells	Hells Bells
39. More Than A Feeling	More Than a Feeling
40. L.A. Woman	L.A. Woman
41. Livin' On A Prayer	Livin' On A Prayer
42. Enter Sandman	Enter Sandman
43. Scenes From An Italian...	Scenes from an Italian Restaurant
44. Piano Man	Piano Man
45. Yesterday (Alternate Version)	Yesterday
46. Roundabout	Roundabout
47. Smells Like Teen Spirit	Smells Like Teen Spirit
48. The Spirit Of Radio	The Spirit Of Radio
49. Rock And Roll	Rock and Roll
50. Money	Money
51. Overture/Temples Of Syrinx	2112
52. You Shook Me All Night Long	You Shook Me All Night Long
53. Paint It, Black	Paint It, Black
54. All Along The Watchtower	All Along the Watchtower
55. Where The Streets Have No Name	Where The Streets Have No Name
56. Lola	Lola
57. Jessica	Jessica
58. Another One Bites The Dust	Another One Bites The Dust
59. Love, Reign O'er Me	Love Reign O'er Me
60. Iron Man	Iron Man
61. The Ocean	The Ocean
62. Green Grass & High Tides	Green Grass & High Tides
63. Golden Slumbers Medley	Golden Slumbers / Carry That Weight / The End
64. Low Spark Of High Heeled Boys	The Low Spark Of High-Heeled Boys
65. Welcome To The Jungle	Welcome To The Jungle
66. Suite: Judy Blue Eyes	Suite: Judy Blue Eyes
67. The Weight	The Weight
68. Over The Hills And Far Away	Over the Hills and Far Away
69. Time	Time
70. Sweet Child O' Mine	Sweet Child O' Mine
71. Badlands	Badlands
72. Help!	Help!
73. Good Vibrations	Good Vibrations
74. Closer To The Heart	Closer To The Heart
75. Smoke On The Water	Smoke on the Water
76. Who Are You	Who Are You
77. You Can't Always Get What...	You Can't Always Get What You Want
78. A Whiter Shade Of Pale	A Whiter Shade Of Pale
79. Immigrant Song	Immigrant Song
80. Celluloid Heroes	Celluloid Heroes
81. Pour Some Sugar On Me	Pour Some Sugar On Me
