1. Stairway To Heaven	Stairway to Heaven
2. Hey Jude	Hey Jude
3. Born To Run	Born to Run
4. Free Bird	Free Bird
5. Baba O'Riley	Baba O'Riley
6. Layla	Layla
7. Hotel California	Hotel California
8. Won't Get Fooled Again	Won't Get Fooled Again
9. Bohemian Rhapsody	Bohemian Rhapsody
10. Thunder Road	Thunder Road
11. Comfortably Numb	Comfortably Numb
12. Sympathy For The Devil	Sympathy For The Devil
13. Let It Be	Let It Be
14. Imagine	Imagine
15. Satisfaction	(I Can't Get No) Satisfaction
16. Kashmir	Kashmir
17. Wish You Were Here	Wish You Were Here
18. Piano Man	Piano Man
19. Rosalita	Rosalita (Come Out Tonight)
20. Gimme Shelter	Gimme Shelter
21. Sgt. Pepper's/A Day In The Life	Sgt. Pepper's Lonely Hearts Club Band - Reprise / A Day In The Life
22. Back In Black	Back In Black
23. Light My Fire	Light My Fire
24. Paradise By The Dashboard Light	Paradise By the Dashboard Light
25. American Pie	American Pie
26. The Real Me	The Real Me
27. Jungleland	Jungleland
28. Sweet Child O' Mine	Sweet Child O' Mine
29. Livin' On A Prayer	Livin' On A Prayer
30. Nights In White Satin	Nights In White Satin
31. Whole Lotta Love	Whole Lotta Love
32. L. A. Woman	L.A. Woman
33. Smoke On The Water	Smoke on the Water
34. Dream On	Dream On
35. In My Life	In My Life
36. Like A Rolling Stone	Like a Rolling Stone
37. Don't Stop Believing	Don't Stop Believin'
38. Highway To Hell	Highway to Hell
39. Enter Sandman	Enter Sandman
40. All Along The Watchtower	All Along the Watchtower
41. You Can't Always Get What You Want	You Can't Always Get What You Want
42. Shine On You Crazy Diamond	Shine On You Crazy Diamond (Pts. 1-5)
43. Love Reign O'er Me	Love Reign O'er Me
44. Purple Haze	Purple Haze
45. Sgt. Pepper's/With a Little Help From My Friends	Sgt. Pepper's Lonely Hearts Club Band / With a Little Help from My Friends
46. Scenes From An Italian Restaurant	Scenes from an Italian Restaurant
47. Money	Money
48. Aqualung	Aqualung
49. Funeral For A Friend/Love Lies Bleeding	Funeral For A Friend / Love Lies Bleeding
50. Walk This Way	Walk This Way
51. While My Guitar Gently Weeps	While My Guitar Gently Weeps
52. Tom Sawyer	Tom Sawyer
53. Bat Out Of Hell	Bat Out of Hell
54. Can't You Hear Me Knocking	Can't You Hear Me Knocking
55. Green Grass & High Tides	Green Grass & High Tides
56. Wanted Dead Or Alive	Wanted Dead Or Alive
57. Lola	Lola
58. Yesterday	Yesterday
59. Brain Damage/Eclipse	Brain Damage / Eclipse
60. Time	Time
61. Born In The U.S.A.	Born in the U.S.A.
62. Paint It Black	Paint It, Black
63. Sunshine Of Your Love	Sunshine Of Your Love
64. Strawberry Fields	Strawberry Fields Forever
65. Another Brick In The Wall	Happiest Days of Our Lives / Another Brick in the Wall, Pt. 2
66. New York State Of Mind	New York State of Mind
67. Welcome To The Jungle	Welcome To The Jungle
68. We Will Rock You/We Are the Champions	We Will Rock You / We Are The Champions
69. Maggie May	Maggie May
70. Badlands	Badlands
71. White Room	White Room
72. Over The Hills And Far Away	Over the Hills and Far Away
73. Jumpin' Jack Flash	Jumpin' Jack Flash
74. More Than A Feeling	More Than a Feeling
75. Bell Bottom Blues	Bell Bottom Blues
76. Black Dog	Black Dog
77. Suite: Judy Blue Eyes	Suite: Judy Blue Eyes
78. Brown Sugar	Brown Sugar
79. 25 Or 6 To 4	25 or 6 to 4
80. Who Are You	Who Are You
81. Behind Blue Eyes	Behind Blue Eyes
82. Jessica	Jessica
83. Sweet Home Alabama	Sweet Home Alabama
84. Crossroads	Crossroads
85. Here Comes The Sun	Here Comes The Sun
86. You Shook Me All Night Long	You Shook Me All Night Long
87. Dazed And Confused	Dazed and Confused
88. Whipping Post	Whipping Post
89. Angie	Angie
90. Hells Bells	Hells Bells
91. Roundabout	Roundabout
92. Crazy Train	Crazy Train
93. Achilles Last Stand	Achilles Last Stand
94. Where The Streets Have No Name	Where The Streets Have No Name
95. Rock And Roll All Night	Rock 'N' Roll All Nite - Live
96. Come Together	Come Together
97. Black Magic Woman	Black Magic Woman / Gypsy Queen
98. Iron Man	Iron Man
99. Me & Bobby Mcgee	Me and Bobby McGee
100. Something	Something
101. Wonderful Tonight	Wonderful Tonight
102. Wild Horses	Wild Horses
103. Golden Slumbers Medley	Golden Slumbers / Carry That Weight / The End
104. Low Spark Of High Heeled Boys	The Low Spark Of High-Heeled Boys
105. Roadhouse Blues	Roadhouse Blues
106. Help!	Help!
107. Sugar Magnolia	Sugar Magnolia
108. Smells Like Teen Spirit	Smells Like Teen Spirit
109. My Generation	My Generation
